,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
28,frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'WINE'})",0.2570806100217865,0.023965141612200435,0.015250544662309368,0.05932203389830508,2.475346687211094,1.0,0.00908957143738638,1.037586606214057,0.802262253875157,0.05737704918032786,0.03622503026634382,0.3478428351309707
27,"frozenset({'NON-ALCOHOL', 'WINE'})",frozenset({'BEER'}),0.023965141612200435,0.2570806100217865,0.015250544662309368,0.6363636363636364,2.475346687211094,1.0,0.00908957143738638,2.043028322440087,0.6106505102040816,0.05737704918032786,0.5105305251932818,0.3478428351309707
35,frozenset({'LIQUOR'}),"frozenset({'KEGS', 'WINE'})",0.3159041394335512,0.0196078431372549,0.015250544662309368,0.04827586206896552,2.462068965517241,1.0,0.009056345849886797,1.0301221938050582,0.8680618744313012,0.047619047619047616,0.029241379310344828,0.41302681992337165
61,frozenset({'LIQUOR'}),"frozenset({'BEER', 'KEGS', 'WINE'})",0.3159041394335512,0.0196078431372549,0.015250544662309368,0.04827586206896552,2.462068965517241,1.0,0.009056345849886797,1.0301221938050582,0.8680618744313012,0.047619047619047616,0.029241379310344828,0.41302681992337165
52,"frozenset({'BEER', 'KEGS', 'WINE'})",frozenset({'LIQUOR'}),0.0196078431372549,0.3159041394335512,0.015250544662309368,0.7777777777777778,2.462068965517241,1.0,0.009056345849886797,3.0784313725490198,0.6057142857142859,0.047619047619047616,0.6751592356687898,0.41302681992337165
34,"frozenset({'KEGS', 'WINE'})",frozenset({'LIQUOR'}),0.0196078431372549,0.3159041394335512,0.015250544662309368,0.7777777777777778,2.462068965517241,1.0,0.009056345849886797,3.0784313725490198,0.6057142857142859,0.047619047619047616,0.6751592356687898,0.41302681992337165
2,frozenset({'NON-ALCOHOL'}),frozenset({'KEGS'}),0.05337690631808279,0.13616557734204793,0.017429193899782137,0.326530612244898,2.3980408163265308,1.0,0.010161096634247989,1.2826632336436259,0.6158659378596087,0.10126582278481015,0.2203721337210799,0.227265306122449
3,frozenset({'KEGS'}),frozenset({'NON-ALCOHOL'}),0.13616557734204793,0.05337690631808279,0.017429193899782137,0.128,2.3980408163265308,1.0,0.010161096634247989,1.0855769422957766,0.6748896595208072,0.10126582278481015,0.07883084004602993,0.227265306122449
25,frozenset({'LIQUOR'}),"frozenset({'BEER', 'WINE'})",0.3159041394335512,0.0718954248366013,0.05337690631808279,0.16896551724137931,2.3501567398119123,1.0,0.030664844005866693,1.1168063352588615,0.8397894189522943,0.15960912052117265,0.10458960660514814,0.45569487983281093
24,"frozenset({'BEER', 'WINE'})",frozenset({'LIQUOR'}),0.0718954248366013,0.3159041394335512,0.05337690631808279,0.7424242424242425,2.3501567398119123,1.0,0.030664844005866693,2.6559015763168023,0.6189997125610808,0.15960912052117265,0.6234800231615519,0.45569487983281093
18,"frozenset({'BEER', 'NON-ALCOHOL'})",frozenset({'LIQUOR'}),0.023965141612200435,0.3159041394335512,0.017429193899782137,0.7272727272727274,2.3021943573667714,1.0,0.00985850646237677,2.5083514887436467,0.5795200892857143,0.05405405405405406,0.6013317892298786,0.3912225705329154
23,frozenset({'LIQUOR'}),"frozenset({'BEER', 'NON-ALCOHOL'})",0.3159041394335512,0.023965141612200435,0.017429193899782137,0.05517241379310345,2.3021943573667714,1.0,0.00985850646237677,1.0330295946440216,0.8268312101910829,0.05405405405405406,0.03197352216748769,0.3912225705329154
20,"frozenset({'NON-ALCOHOL', 'LIQUOR'})",frozenset({'BEER'}),0.03159041394335512,0.2570806100217865,0.017429193899782137,0.5517241379310345,2.146113383985973,1.0,0.009307911012383652,1.6572817161052456,0.5514623172103487,0.06425702811244981,0.39660228536758013,0.309760374050263
21,frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'LIQUOR'})",0.2570806100217865,0.03159041394335512,0.017429193899782137,0.06779661016949153,2.146113383985973,1.0,0.009307911012383652,1.0388393741334918,0.718841642228739,0.06425702811244981,0.03738727574307449,0.309760374050263
60,frozenset({'KEGS'}),"frozenset({'BEER', 'LIQUOR', 'WINE'})",0.13616557734204793,0.05337690631808279,0.015250544662309368,0.112,2.0982857142857143,1.0,0.00798244739677522,1.0660169973895464,0.6059268600252208,0.08750000000000001,0.06192865362485615,0.19885714285714284
53,"frozenset({'BEER', 'LIQUOR', 'WINE'})",frozenset({'KEGS'}),0.05337690631808279,0.13616557734204793,0.015250544662309368,0.2857142857142857,2.0982857142857143,1.0,0.00798244739677522,1.209368191721133,0.5529344073647872,0.08750000000000001,0.1731219600072059,0.19885714285714284
14,"frozenset({'BEER', 'WINE'})",frozenset({'KEGS'}),0.0718954248366013,0.13616557734204793,0.0196078431372549,0.27272727272727276,2.002909090909091,1.0,0.009818161106127274,1.1877723311546842,0.5395148669796558,0.10404624277456649,0.15808781382551879,0.20836363636363636
17,frozenset({'KEGS'}),"frozenset({'BEER', 'WINE'})",0.13616557734204793,0.0718954248366013,0.0196078431372549,0.144,2.0029090909090908,1.0,0.009818161106127274,1.0842343167796715,0.5796553173602355,0.10404624277456649,0.07769014084507041,0.20836363636363636
